"id","monitor","region_id","genotype","treatment","temp","sex","start_datetime","stop_datetime","norm_sleep_time_all","norm_sleep_time_l","norm_sleep_time_d","norm_sleep_time_ZT0_4","norm_sleep_time_ZT16_20","norm_sleep_time_ZT20_24"
"2024-06-30 10:05:00|Monitor22.txt|29","M22",29,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.04340098453188,1.2007447444324,0.911290533874874,1.3762431388472,0.925502399560158,0.802453362802741
"2024-06-30 10:05:00|Monitor22.txt|30","M22",30,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.03153876324343,1.10302179553487,0.971519505941316,0.895387102382516,1.08457312448456,1.0833120397837
"2024-06-30 10:05:00|Monitor22.txt|31","M22",31,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",0.959416457809666,1.17475459844901,0.778612218598072,1.42598686675734,0.925502399560158,0.85762203149543
"2024-06-30 10:05:00|Monitor22.txt|32","M22",32,"CS","Grp25_Vial",25,"M","2024-06-30 10:05:00","2024-07-02 10:20:00",1.16059973086174,1.19034868603904,1.13562163273104,1.50060245862255,0.978525974534959,1.15352670902894
"2024-06-30 10:05:00|Monitor23.txt|01","M23",1,"CS","Grp25F_Vial",25,"F","2024-06-30 10:05:00","2024-07-02 10:20:00",1.03628365175881,1.01569490503069,1.05357056933618,0.970002694247726,1.03154954950976,0.972974702398324
"2024-06-30 10:05:00|Monitor23.txt|02","M23",2,"CS","Grp25F_Vial",25,"F","2024-06-30 10:05:00","2024-07-02 10:20:00",0.806631047614457,0.639357591191276,0.947078763653485,0.572052870966608,0.925502399560158,1.16355737606398
"2024-06-30 10:05:00|Monitor23.txt|03","M23",3,"CS","Grp25F_Vial",25,"F","2024-06-30 10:05:00","2024-07-02 10:20:00",0.735932208735308,0.517723707989034,0.919146486753105,0.414531065917832,1.02190889951434,0.937867367775704
"2024-06-30 10:05:00|Monitor23.txt|04","M23",4,"CS","Grp25F_Vial",25,"F","2024-06-30 10:05:00","2024-07-02 10:20:00",0.998799032487313,0.890942204310445,1.08935879911479,0.563762249648251,1.09903409947769,1.01309737053846
"2024-06-30 10:05:00|Monitor23.txt|05","M23",5,"CS","Grp25F_Vial",25,"F","2024-06-30 10:05:00","2024-07-02 10:20:00",1.08278355920952,1.09470494882019,1.07277400970519,1.01145580083951,1.16169832444791,1.0833120397837
"2024-06-30 10:05:00|Monitor23.txt|06","M23",6,"CS","Grp25F_Vial",25,"F","2024-06-30 10:05:00","2024-07-02 10:20:00",0.735932208735308,0.613367445207891,0.838841190664515,0.116068698456993,0.867658499587649,0.78740736225019
